date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,750.35,766.5,750.35,754.65,1771176,0
2026-01-13 00:00:00+05:30,750.1,757.7,742.6,748.5,1820910,0
2026-01-14 00:00:00+05:30,742.0,753.75,741.85,743.2,2909648,0
2026-01-16 00:00:00+05:30,740.1,742.0,718.0,732.55,9855757,0
2026-01-19 00:00:00+05:30,726.9,742.95,726.9,736.8,2566777,0
2026-01-20 00:00:00+05:30,736.8,742.55,730.45,732.1,2322135,0
2026-01-21 00:00:00+05:30,727.55,740.6,722.1,724.35,3455702,0
2026-01-22 00:00:00+05:30,725.1,729.65,717.85,725.1,2374582,0
2026-01-23 00:00:00+05:30,721.1,723.0,710.3,712.1,3232798,0
2026-01-27 00:00:00+05:30,712.1,725.0,708.1,720.05,3344844,0
2026-01-28 00:00:00+05:30,722.2,731.6,719.0,728.6,1778744,0
2026-01-29 00:00:00+05:30,728.6,732.25,722.85,727.1,2511005,0
2026-01-30 00:00:00+05:30,721.25,735.7,720.65,731.0,3672455,0
2026-02-01 00:00:00+05:30,731.0,733.0,708.5,715.3,973885,0
2026-02-02 00:00:00+05:30,717.3,721.65,708.8,717.5,1824473,0
2026-02-03 00:00:00+05:30,721.5,735.0,718.15,720.15,3911536,0
2026-02-04 00:00:00+05:30,724.0,727.0,714.9,722.5,4826046,0
2026-02-05 00:00:00+05:30,722.4,723.3,712.1,720.7,1268905,0
2026-02-06 00:00:00+05:30,718.0,721.9,698.55,703.5,4114496,0
2026-02-09 00:00:00+05:30,704.5,711.95,702.5,707.9,4093084,0
2026-02-10 00:00:00+05:30,711.25,713.95,702.85,703.95,2320888,0
2026-02-11 00:00:00+05:30,704.0,705.6,699.0,701.1,1873706,0
2026-02-12 00:00:00+05:30,697.0,704.55,688.9,702.7,5334547,0
2026-02-13 00:00:00+05:30,702.0,707.55,695.05,696.8,2076033,0
2026-02-16 00:00:00+05:30,693.0,708.4,693.0,703.9,1975111,0
2026-02-17 00:00:00+05:30,702.5,710.9,701.5,705.8,1320272,0
2026-02-18 00:00:00+05:30,705.85,730.7,704.85,729.6,4974855,0
2026-02-19 00:00:00+05:30,726.9,735.8,723.5,733.15,2875538,0
2026-02-20 00:00:00+05:30,733.15,735.65,726.9,728.65,1600534,0
2026-02-23 00:00:00+05:30,730.0,745.75,729.7,742.45,2722974,0
2026-02-24 00:00:00+05:30,740.1,742.8,730.15,734.75,1919196,0
2026-02-25 00:00:00+05:30,740.0,741.9,732.85,735.25,2075312,0
2026-02-26 00:00:00+05:30,735.45,744.9,731.65,734.0,2329954,0
