date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,3203.0,3252.0,3174.3,3239.6,2228342,0
2026-01-13 00:00:00+05:30,3245.0,3280.0,3210.5,3268.0,5645341,0
2026-01-14 00:00:00+05:30,3260.0,3260.0,3183.0,3192.5,3539511,0
2026-01-16 00:00:00+05:30,3219.4,3221.9,3171.0,3206.7,4293470,0
2026-01-19 00:00:00+05:30,3188.0,3220.0,3152.1,3163.6,3387562,0
2026-01-20 00:00:00+05:30,3151.6,3160.0,3091.1,3102.3,4499273,0
2026-01-21 00:00:00+05:30,3100.0,3138.5,3082.0,3122.6,2015150,0
2026-01-22 00:00:00+05:30,3150.0,3160.0,3122.3,3150.4,2269827,0
2026-01-23 00:00:00+05:30,3190.3,3194.5,3152.0,3162.5,2068857,0
2026-01-27 00:00:00+05:30,3175.0,3175.0,3130.0,3158.0,4279874,0
2026-01-28 00:00:00+05:30,3176.0,3205.2,3170.6,3200.1,2751234,0
2026-01-29 00:00:00+05:30,3200.1,3200.1,3125.6,3144.4,2457641,0
2026-01-30 00:00:00+05:30,3141.0,3141.0,3092.0,3123.9,3022068,0
2026-02-01 00:00:00+05:30,3123.8,3234.0,3105.2,3186.9,3012937,0
2026-02-02 00:00:00+05:30,3198.0,3198.0,3134.0,3169.6,2636272,0
2026-02-03 00:00:00+05:30,3350.0,3350.0,3186.3,3225.3,4366060,0
2026-02-04 00:00:00+05:30,3120.0,3120.0,2986.0,2999.1,10852595,0
2026-02-05 00:00:00+05:30,2990.0,3029.7,2972.3,2991.5,3521545,0
2026-02-06 00:00:00+05:30,2976.6,2985.0,2916.0,2941.6,4687389,0
2026-02-09 00:00:00+05:30,2959.1,2977.0,2937.5,2948.2,2380318,0
2026-02-10 00:00:00+05:30,2949.8,3011.6,2943.5,2984.6,3547763,0
2026-02-11 00:00:00+05:30,2980.0,2998.0,2904.2,2909.8,3363513,0
2026-02-12 00:00:00+05:30,2869.8,2880.0,2740.0,2750.1,10612156,0
2026-02-13 00:00:00+05:30,2585.0,2713.0,2585.0,2692.2,11168735,0
2026-02-16 00:00:00+05:30,2700.0,2719.8,2671.0,2706.6,2918730,0
2026-02-17 00:00:00+05:30,2716.0,2760.0,2695.2,2717.4,4209118,0
2026-02-18 00:00:00+05:30,2730.0,2730.0,2657.3,2694.9,2950820,0
2026-02-19 00:00:00+05:30,2708.0,2748.7,2666.6,2677.9,3238849,0
2026-02-20 00:00:00+05:30,2667.0,2702.6,2647.5,2686.2,2293482,0
2026-02-23 00:00:00+05:30,2686.0,2704.0,2660.2,2676.3,4699596,0
2026-02-24 00:00:00+05:30,2641.0,2647.5,2561.3,2573.7,7798833,0
2026-02-25 00:00:00+05:30,2596.0,2654.2,2595.0,2629.3,3621285,0
2026-02-26 00:00:00+05:30,2650.0,2671.0,2635.0,2647.7,3464267,0
2026-02-27 00:00:00+05:30,2681.6,2688.6,2626.1,2637.4,5083717,0
2026-03-02 00:00:00+05:30,2592.0,2623.8,2580.3,2613.5,3374385,0
2026-03-04 00:00:00+05:30,2625.0,2635.0,2580.4,2587.8,3446434,0
2026-03-05 00:00:00+05:30,2600.0,2609.5,2546.4,2578.8,2960636,0
2026-03-06 00:00:00+05:30,2572.0,2619.2,2553.6,2557.6,3998643,0
2026-03-09 00:00:00+05:30,2530.0,2560.0,2505.0,2527.4,3653428,0
2026-03-10 00:00:00+05:30,2541.0,2545.2,2490.1,2513.1,4323710,0
2026-03-11 00:00:00+05:30,2508.1,2521.0,2460.1,2464.9,2720664,0
2026-03-12 00:00:00+05:30,2459.8,2472.9,2436.0,2442.4,2752075,0
2026-03-13 00:00:00+05:30,2437.0,2445.9,2397.0,2410.5,2466488,0
2026-03-16 00:00:00+05:30,2410.0,2425.0,2366.1,2409.2,3807907,0
2026-03-17 00:00:00+05:30,2420.0,2420.0,2360.0,2391.7,2993367,0
2026-03-18 00:00:00+05:30,2410.0,2482.9,2410.0,2440.8,3082388,0
2026-03-19 00:00:00+05:30,2417.0,2424.0,2350.2,2356.0,2757060,0
2026-03-20 00:00:00+05:30,2386.0,2407.8,2364.2,2390.6,4206320,0
2026-03-23 00:00:00+05:30,2365.0,2406.8,2348.0,2383.8,3860515,0
2026-03-24 00:00:00+05:30,2404.1,2435.4,2379.1,2398.8,3420182,0
2026-03-25 00:00:00+05:30,2400.9,2421.6,2369.8,2377.4,5843778,0
2026-03-27 00:00:00+05:30,2403.9,2422.1,2385.0,2389.8,4979411,0
2026-03-30 00:00:00+05:30,2375.1,2398.0,2346.2,2358.9,6804756,0
2026-04-01 00:00:00+05:30,2429.0,2472.0,2397.9,2408.2,4132661,0
2026-04-02 00:00:00+05:30,2386.0,2469.9,2375.7,2450.7,5378361,0
2026-04-06 00:00:00+05:30,2474.0,2482.0,2448.2,2473.9,2572417,0
2026-04-07 00:00:00+05:30,2461.0,2543.9,2448.0,2539.8,4516550,0
2026-04-08 00:00:00+05:30,2572.0,2580.3,2540.1,2559.2,4769337,0
2026-04-09 00:00:00+05:30,2554.0,2605.0,2531.1,2589.0,5628261,0
2026-04-10 00:00:00+05:30,2565.8,2565.8,2501.1,2524.3,10480239,0
2026-04-13 00:00:00+05:30,2489.9,2504.9,2470.0,2472.6,3739587,0
2026-04-15 00:00:00+05:30,2501.9,2559.0,2493.4,2554.9,5261384,0
2026-04-16 00:00:00+05:30,2572.0,2594.0,2558.0,2576.9,3905403,0
